Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,SLice,SLice max,SLice min,d18Osw,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),d18Osw (long),Temperature (long),Temperature max (long),Temperature min (long)
53.4,53.54,53.54,53.392,59.5,59.5,57.26,-0.65,12.79,14.57,10.25,51.06,51.73,45.42,-0.56,13.08,14.84,10.52
53.5,53.648,53.648,53.516,60.6,60.6,58.9,-0.67,12.71,14.49,10.16,50.61,51.28,44.73,-0.56,13.06,14.82,10.49
53.6,53.757,53.757,53.641,61.76,61.76,60.64,-0.68,12.63,14.42,10.08,50.13,50.79,43.99,-0.55,13.04,14.8,10.47
53.7,53.866,53.866,53.766,63.18,63.18,62.76,-0.69,12.57,14.36,10.02,49.62,50.27,43.21,-0.55,13.02,14.79,10.44
53.8,53.974,53.974,53.89,64.77,65.15,64.77,-0.71,12.53,14.33,9.97,49.1,49.72,42.4,-0.54,13,14.77,10.41
53.9,54.083,54.083,54.003,65.88,66.81,65.88,-0.72,12.49,14.29,9.93,48.57,49.16,41.55,-0.53,12.99,14.75,10.39
54,54.193,54.193,54.115,65.2,65.8,65.2,-0.72,12.45,14.25,9.88,48.06,48.59,40.69,-0.53,12.97,14.74,10.37
54.1,54.302,54.302,54.227,61.41,61.41,60.11,-0.68,12.48,14.28,9.9,47.56,48.01,39.82,-0.52,12.95,14.73,10.35
54.2,54.411,54.411,54.339,54.19,54.19,49.28,-0.6,12.63,14.43,10.05,47.07,47.42,38.95,-0.52,12.93,14.72,10.33
54.3,54.52,54.52,54.451,44.95,44.95,35.42,-0.49,12.87,14.68,10.29,46.59,46.84,38.08,-0.51,12.91,14.71,10.32
54.4,54.629,54.629,54.563,36.27,36.27,22.4,-0.4,13.13,14.94,10.54,46.1,46.25,37.2,-0.51,12.89,14.71,10.3
54.5,54.738,54.738,54.675,30.48,30.48,13.73,-0.34,13.28,15.1,10.69,45.6,45.65,36.29,-0.5,12.87,14.7,10.29
54.6,54.847,54.847,54.787,28.54,28.54,10.8,-0.31,13.3,15.12,10.7,45.07,45.01,35.35,-0.5,12.85,14.69,10.27
54.7,54.956,54.956,54.899,29.82,29.82,12.74,-0.33,13.23,15.05,10.62,44.51,44.34,34.35,-0.49,12.83,14.68,10.25
54.8,55.066,55.066,55.011,32.98,32.98,17.48,-0.36,13.14,14.97,10.53,43.9,43.63,33.29,-0.48,12.81,14.67,10.23
54.9,55.175,55.175,55.123,36.64,36.64,22.95,-0.4,13.07,14.9,10.46,43.25,42.89,32.2,-0.48,12.78,14.65,10.2
55,55.284,55.284,55.236,39.74,39.74,27.6,-0.44,13.02,14.85,10.4,42.58,42.13,31.07,-0.47,12.76,14.63,10.18
55.1,55.393,55.393,55.348,41.51,41.51,30.26,-0.46,12.97,14.8,10.34,41.89,41.38,29.95,-0.46,12.73,14.61,10.15
55.2,55.502,55.502,55.46,41.25,41.25,29.87,-0.45,12.93,14.77,10.3,41.2,40.64,28.87,-0.45,12.7,14.58,10.12
55.3,55.611,55.611,55.572,38.75,38.75,26.12,-0.43,12.91,14.76,10.28,40.54,39.95,27.85,-0.45,12.67,14.56,10.08
55.4,55.72,55.72,55.684,34.76,34.76,20.14,-0.38,12.95,14.8,10.31,39.91,39.32,26.92,-0.44,12.64,14.52,10.04
55.5,55.83,55.83,55.796,30.88,30.88,14.33,-0.34,13.05,14.9,10.41,39.34,38.77,26.1,-0.43,12.6,14.49,9.99
55.6,55.939,55.939,55.908,28.99,28.99,11.48,-0.32,13.12,14.97,10.47,38.84,38.3,25.42,-0.43,12.56,14.44,9.94
55.7,56.048,56.048,56.02,30.19,30.19,13.29,-0.33,13.05,14.91,10.4,38.43,37.94,24.89,-0.42,12.51,14.4,9.89
55.8,56.157,56.157,56.132,34.21,34.21,19.32,-0.38,12.88,14.74,10.22,38.12,37.69,24.52,-0.42,12.45,14.34,9.82
55.9,56.266,56.266,56.244,39.81,39.81,27.72,-0.44,12.58,14.44,9.92,37.92,37.55,24.32,-0.42,12.39,14.28,9.75
56,56.375,56.375,56.356,45.4,45.4,36.09,-0.5,12.15,14.01,9.48,37.84,37.52,24.28,-0.42,12.32,14.21,9.68
56.1,56.484,56.484,56.468,49.2,49.2,41.8,-0.54,11.73,13.6,9.06,37.88,37.6,24.41,-0.42,12.24,14.14,9.6
56.2,56.594,56.594,56.58,49.75,49.75,42.62,-0.55,11.48,13.35,8.8,38.03,37.78,24.67,-0.42,12.16,14.06,9.51
56.3,56.703,56.703,56.692,46.6,46.6,37.9,-0.51,11.46,13.34,8.78,38.27,38.03,25.05,-0.42,12.07,13.97,9.41
56.4,56.812,56.812,56.804,40.76,40.76,29.14,-0.45,11.68,13.56,9,38.61,38.35,25.52,-0.42,11.97,13.88,9.31
56.5,56.921,56.921,56.916,34.69,34.69,20.04,-0.38,12.01,13.9,9.32,39.01,38.71,26.07,-0.43,11.87,13.78,9.21
56.6,57.03,57.03,57.028,30.95,30.95,14.42,-0.34,12.26,14.15,9.56,39.46,39.13,26.69,-0.43,11.77,13.68,9.1
56.7,57.139,57.139,57.139,30.36,30.36,13.54,-0.33,12.3,14.19,9.6,39.96,39.58,27.37,-0.44,11.66,13.57,8.98
56.8,57.246,57.246,57.246,32.09,32.09,16.13,-0.35,12.15,14.05,9.45,40.5,40.08,28.12,-0.45,11.55,13.46,8.86
56.9,57.354,57.354,57.354,34.55,34.55,19.83,-0.38,11.91,13.81,9.2,41.07,40.63,28.95,-0.45,11.43,13.35,8.74
57,57.462,57.462,57.462,36.5,36.5,22.74,-0.4,11.68,13.58,8.96,41.67,41.23,29.84,-0.46,11.32,13.23,8.62
57.1,57.57,57.57,57.57,37.62,37.62,24.44,-0.41,11.48,13.38,8.76,42.29,41.87,30.81,-0.47,11.2,13.12,8.5
57.2,57.678,57.678,57.678,38.13,38.13,25.2,-0.42,11.3,13.21,8.58,42.92,42.55,31.82,-0.47,11.09,13.01,8.38
57.3,57.786,57.786,57.786,38.29,38.29,25.44,-0.42,11.14,13.05,8.41,43.54,43.23,32.85,-0.48,10.97,12.89,8.25
57.4,57.895,57.895,57.895,38.48,38.48,25.72,-0.42,10.97,12.88,8.23,44.15,43.92,33.87,-0.49,10.86,12.78,8.13
57.5,58.004,58.004,58.004,39.15,39.15,26.72,-0.43,10.8,12.72,8.06,44.72,44.58,34.86,-0.49,10.75,12.67,8.01
57.6,58.112,58.112,58.112,40.65,40.65,28.97,-0.45,10.64,12.56,7.9,45.23,45.19,35.78,-0.5,10.65,12.56,7.9
57.7,58.221,58.221,58.221,43.05,43.05,32.57,-0.47,10.47,12.39,7.72,45.69,45.76,36.63,-0.5,10.55,12.46,7.79
57.8,58.33,58.33,58.33,46,46,37.01,-0.51,10.27,12.2,7.52,46.08,46.28,37.4,-0.51,10.46,12.36,7.68
57.9,58.438,58.438,58.438,48.95,48.95,41.43,-0.54,10.06,11.99,7.3,46.42,46.75,38.1,-0.51,10.38,12.26,7.58
58,58.547,58.547,58.547,51.38,51.38,45.07,-0.57,9.87,11.8,7.11,46.71,47.17,38.72,-0.51,10.3,12.18,7.48
58.1,58.656,58.656,58.656,52.97,52.97,47.45,-0.58,9.72,11.65,6.95,46.96,47.54,39.27,-0.52,10.23,12.09,7.39
58.2,58.764,58.764,58.764,53.76,53.76,48.65,-0.59,9.62,11.56,6.85,47.2,47.87,39.76,-0.52,10.16,12.02,7.31
58.3,58.873,58.873,58.873,54.23,54.23,49.34,-0.6,9.56,11.51,6.79,47.43,48.16,40.18,-0.52,10.1,11.96,7.24
58.4,58.975,58.975,58.975,55.03,55.03,50.54,-0.61,9.5,11.45,6.72,47.66,48.4,40.53,-0.52,10.05,11.91,7.18
58.5,59.053,59.053,59.053,56.61,56.61,52.91,-0.62,9.41,11.36,6.62,47.89,48.61,40.83,-0.53,10.01,11.87,7.14
58.6,59.131,59.131,59.131,58.78,58.78,56.16,-0.65,9.28,11.23,6.49,48.13,48.77,41.07,-0.53,9.98,11.85,7.1
58.7,59.208,59.208,59.208,60.75,60.75,59.1,-0.67,9.16,11.12,6.37,48.36,48.92,41.27,-0.53,9.95,11.83,7.08
58.8,59.302,59.302,59.303,61.71,61.71,60.53,-0.68,9.1,11.06,6.3,48.59,49.04,41.45,-0.53,9.93,11.82,7.06
58.9,59.404,59.404,59.407,61.25,61.25,59.82,-0.67,9.12,11.08,6.31,48.81,49.16,41.62,-0.54,9.92,11.82,7.05
59,59.506,59.506,59.512,59.38,59.38,56.98,-0.65,9.21,11.17,6.4,49.03,49.27,41.77,-0.54,9.91,11.83,7.05
59.1,59.609,59.609,59.616,56.23,56.23,52.24,-0.62,9.35,11.32,6.53,49.23,49.38,41.92,-0.54,9.9,11.84,7.05
59.2,59.711,59.711,59.72,51.99,51.99,45.84,-0.57,9.54,11.52,6.72,49.42,49.47,42.06,-0.54,9.91,11.85,7.06
59.3,59.814,59.814,59.825,47.07,47.07,38.42,-0.52,9.78,11.75,6.95,49.59,49.55,42.18,-0.55,9.91,11.87,7.07
59.4,59.916,59.916,59.929,42.32,42.32,31.26,-0.47,10.02,12,7.19,49.73,49.61,42.26,-0.55,9.92,11.89,7.08
59.5,60.019,60.019,60.034,38.58,38.58,25.62,-0.42,10.25,12.23,7.42,49.86,49.64,42.32,-0.55,9.94,11.92,7.1
59.6,60.121,60.121,60.138,36.33,36.33,22.2,-0.4,10.43,12.42,7.59,49.97,49.66,42.35,-0.55,9.96,11.95,7.13
59.7,60.223,60.223,60.242,35.52,35.52,20.96,-0.39,10.56,12.55,7.72,50.07,49.66,42.36,-0.55,9.99,11.98,7.15
59.8,60.326,60.326,60.347,35.88,35.88,21.48,-0.39,10.64,12.64,7.8,50.17,49.67,42.38,-0.55,10.02,12.02,7.18
59.9,60.428,60.428,60.451,37.22,37.22,23.48,-0.41,10.67,12.67,7.82,50.27,49.7,42.42,-0.55,10.05,12.06,7.21
60,60.531,60.531,60.555,39.49,39.49,26.87,-0.43,10.63,12.63,7.77,50.4,49.76,42.52,-0.55,10.08,12.1,7.25
60.1,60.633,60.633,60.66,42.53,42.53,31.44,-0.47,10.52,12.53,7.66,50.56,49.89,42.69,-0.56,10.12,12.15,7.28
60.2,60.736,60.736,60.764,45.99,45.99,36.64,-0.51,10.4,12.4,7.53,50.76,50.09,42.97,-0.56,10.16,12.19,7.31
60.3,60.838,60.838,60.869,49.38,49.38,41.75,-0.54,10.29,12.3,7.42,51.01,50.39,43.35,-0.56,10.19,12.23,7.34
60.4,60.941,60.941,60.973,52.25,52.25,46.11,-0.57,10.2,12.22,7.33,51.31,50.79,43.87,-0.56,10.22,12.26,7.37
60.5,61.043,61.043,61.077,54.41,54.41,49.4,-0.6,10.11,12.13,7.23,51.65,51.28,44.52,-0.57,10.25,12.29,7.39
60.6,61.145,61.145,61.182,55.83,55.83,51.59,-0.61,10.04,12.06,7.15,52.03,51.87,45.29,-0.57,10.28,12.32,7.41
60.7,61.248,61.248,61.286,56.53,56.53,52.73,-0.62,9.98,12,7.09,52.43,52.52,46.17,-0.58,10.31,12.34,7.43
60.8,61.35,61.35,61.391,56.51,56.51,52.8,-0.62,9.96,11.99,7.06,52.84,53.21,47.11,-0.58,10.33,12.36,7.44
60.9,61.453,61.453,61.495,55.82,55.82,51.87,-0.61,10,12.03,7.1,53.24,53.91,48.07,-0.59,10.35,12.37,7.44
61,61.555,61.555,61.599,54.7,54.7,50.3,-0.6,10.1,12.14,7.2,53.63,54.58,49.01,-0.59,10.37,12.39,7.45
61.1,61.658,61.658,61.704,53.63,53.63,48.82,-0.59,10.24,12.28,7.33,53.98,55.2,49.88,-0.59,10.39,12.4,7.46
