age_GTS2020,age_GTS2020,age_GTS2020,age_GTS2020,age_W2020,temp_benthic,d18Osw_raw,d18Osw_pH
14.287,14.27,14.27,14.27,14.27,7.931118623,0.576256001,0.372272403
14.374,14.37,14.37,14.37,14.37,7.945141887,0.575924328,0.369143794
14.46,14.47,14.47,14.47,14.47,7.952718688,0.574638613,0.366018977
14.547,14.57,14.57,14.57,14.57,7.964125377,0.574322497,0.364007709
14.656,14.67,14.67,14.67,14.67,7.973872038,0.574115707,0.360869644
14.778,14.77,14.77,14.77,14.77,7.986033591,0.573431048,0.358259391
14.877,14.87,14.87,14.87,14.87,7.9952107,0.573265382,0.355862237
14.973,14.97,14.97,14.975,14.97,8.008765654,0.572535962,0.353372333
15.07,15.07,15.07,15.083,15.07,8.023487049,0.571408134,0.351364497
15.17,15.17,15.17,15.196,15.17,8.033782688,0.570390346,0.349756308
15.27,15.27,15.27,15.295,15.27,8.04506867,0.569714477,0.347317226
15.37,15.37,15.37,15.394,15.37,8.060990492,0.569583358,0.34604677
15.47,15.47,15.47,15.494,15.47,8.085118938,0.570040846,0.345273505
15.57,15.57,15.57,15.593,15.57,8.105088551,0.57095697,0.344547244
15.67,15.67,15.67,15.692,15.67,8.130062984,0.571215998,0.343909661
15.77,15.77,15.77,15.792,15.77,8.150880115,0.572324757,0.342747221
15.87,15.87,15.87,15.891,15.87,8.174434518,0.571631369,0.341928204
15.97,15.97,15.97,15.99,15.97,8.189875713,0.571447254,0.340372449
16.07,16.07,16.07,16.081,16.07,8.202869507,0.571920486,0.338715886
16.17,16.17,16.17,16.172,16.17,8.223831585,0.572000683,0.337134366
16.27,16.27,16.27,16.266,16.27,8.246084802,0.571101766,0.33525331
16.37,16.37,16.37,16.384,16.37,8.273365828,0.570087228,0.333970368
16.47,16.47,16.47,16.433,16.47,8.302378383,0.569027046,0.332437845
16.57,16.57,16.57,16.548,16.57,8.328112603,0.568328192,0.330721255
16.67,16.67,16.67,16.607,16.67,8.35157664,0.568205661,0.32875376
16.77,16.77,16.77,16.686,16.77,8.37459083,0.567857531,0.327058219
16.87,16.87,16.87,16.787,16.87,8.397904783,0.567225288,0.325589764
16.97,16.97,16.97,16.887,16.97,8.420285638,0.56651522,0.32354023
17.07,17.07,17.07,16.988,17.07,8.440081009,0.565423626,0.322083847
17.17,17.17,17.17,17.089,17.17,8.452117284,0.564951628,0.320104069
17.27,17.27,17.27,17.191,17.27,8.460869464,0.564298327,0.3188724
17.37,17.37,17.37,17.295,17.37,8.463265867,0.563897184,0.316932032
17.47,17.47,17.47,17.4,17.47,8.463994576,0.562848568,0.315110501
